internal_sku,cardmarket_id,amount,card_name,set_name,set_code,cn,rarity,rarity_short,lang,is_reverse,rarity_quality,name_es,name_de,name_fr,name_it
733598-0001,733598,1,Venusaur ex,151,MEW,003,Double Rare,RR,ESP,False,normal,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],Bisaflor ex [Tranquil Flower | Dangerous Toxwhip],Florizarre ex [Tranquil Flower | Dangerous Toxwhip],Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
733635-0002,733635,1,Wigglytuff ex,151,MEW,040,Double Rare,RR,ENG,False,normal,Wigglytuff ex [Expanding Body | Friend Tackle],Knuddeluff ex [Expanding Body | Friend Tackle],Grodoudou ex [Expanding Body | Friend Tackle],Wigglytuff ex [Expanding Body | Friend Tackle]
733635-0001,733635,1,Wigglytuff ex,151,MEW,040,Double Rare,RR,ESP,False,normal,Wigglytuff ex [Expanding Body | Friend Tackle],Knuddeluff ex [Expanding Body | Friend Tackle],Grodoudou ex [Expanding Body | Friend Tackle],Wigglytuff ex [Expanding Body | Friend Tackle]
733740-0002,733740,1,Zapdos ex,151,MEW,145,Double Rare,RR,ENG,False,normal,Zapdos ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning],Électhor ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning]
733740-0001,733740,1,Zapdos ex,151,MEW,145,Double Rare,RR,ESP,False,normal,Zapdos ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning],Électhor ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning]
733761-0002,733761,1,Bulbasaur,151,MEW,166,Illustration Rare,IR,ENG,False,normal,Bulbasaur [Leech Seed | 151],Bisasam [Leech Seed | 151],Bulbizarre [Leech Seed | 151],Bulbasaur [Leech Seed | 151]
733761-0001,733761,1,Bulbasaur,151,MEW,166,Illustration Rare,IR,ESP,False,normal,Bulbasaur [Leech Seed | 151],Bisasam [Leech Seed | 151],Bulbizarre [Leech Seed | 151],Bulbasaur [Leech Seed | 151]
733767-0002,733767,1,Caterpie,151,MEW,172,Illustration Rare,IR,ENG,False,normal,Caterpie [Leaf Munch],Raupy [Leaf Munch],Chenipan [Leaf Munch],Caterpie [Leaf Munch]
733767-0001,733767,1,Caterpie,151,MEW,172,Illustration Rare,IR,ESP,False,normal,Caterpie [Leaf Munch],Raupy [Leaf Munch],Chenipan [Leaf Munch],Caterpie [Leaf Munch]
733763-0002,733763,1,Charmander,151,MEW,168,Illustration Rare,IR,ENG,False,normal,Charmander [Blazing Destruction | Steady Firebreathing],Glumanda [Blazing Destruction | Steady Firebreathing],Salamèche [Blazing Destruction | Steady Firebreathing],Charmander [Blazing Destruction | Steady Firebreathing]
733763-0001,733763,1,Charmander,151,MEW,168,Illustration Rare,IR,ESP,False,normal,Charmander [Blazing Destruction | Steady Firebreathing],Glumanda [Blazing Destruction | Steady Firebreathing],Salamèche [Blazing Destruction | Steady Firebreathing],Charmander [Blazing Destruction | Steady Firebreathing]
733764-0002,733764,1,Charmeleon,151,MEW,169,Illustration Rare,IR,ENG,False,normal,Charmeleon [Combustion | Fire Blast],Glutexo [Combustion | Fire Blast],Reptincel [Combustion | Fire Blast],Charmeleon [Combustion | Fire Blast]
733764-0001,733764,1,Charmeleon,151,MEW,169,Illustration Rare,IR,ESP,False,normal,Charmeleon [Combustion | Fire Blast],Glutexo [Combustion | Fire Blast],Reptincel [Combustion | Fire Blast],Charmeleon [Combustion | Fire Blast]
733776-0002,733776,1,Dragonair,151,MEW,181,Illustration Rare,IR,ENG,False,normal,Dragonair [Beat | Aqua Slash],Dragonir [Beat | Aqua Slash],Draco [Beat | Aqua Slash],Dragonair [Beat | Aqua Slash]
733776-0001,733776,1,Dragonair,151,MEW,181,Illustration Rare,IR,ESP,False,normal,Dragonair [Beat | Aqua Slash],Dragonir [Beat | Aqua Slash],Draco [Beat | Aqua Slash],Dragonair [Beat | Aqua Slash]
733762-0002,733762,1,Ivysaur,151,MEW,167,Illustration Rare,IR,ENG,False,normal,Ivysaur [Leech Seed | Vine Whip | 151],Bisaknosp [Leech Seed | Vine Whip | 151],Herbizarre [Leech Seed | Vine Whip | 151],Ivysaur [Leech Seed | Vine Whip | 151]
733762-0001,733762,1,Ivysaur,151,MEW,167,Illustration Rare,IR,ESP,False,normal,Ivysaur [Leech Seed | Vine Whip | 151],Bisaknosp [Leech Seed | Vine Whip | 151],Herbizarre [Leech Seed | Vine Whip | 151],Ivysaur [Leech Seed | Vine Whip | 151]
733772-0002,733772,1,Machoke,151,MEW,177,Illustration Rare,IR,ENG,False,normal,Machoke [Mountain Strike],Maschock [Mountain Strike],Machopeur [Mountain Strike],Machoke [Mountain Strike]
733772-0001,733772,1,Machoke,151,MEW,177,Illustration Rare,IR,ESP,False,normal,Machoke [Mountain Strike],Maschock [Mountain Strike],Machopeur [Mountain Strike],Machoke [Mountain Strike]
733774-0002,733774,1,Mr. Mime,151,MEW,179,Illustration Rare,IR,ENG,False,normal,Mr. Mime [Mimic Barrier | Psypower],Pantimos [Mimic Barrier | Psypower],M. Mime [Mimic Barrier | Psypower],Mr. Mime [Mimic Barrier | Psypower]
733774-0001,733774,1,Mr. Mime,151,MEW,179,Illustration Rare,IR,ESP,False,normal,Mr. Mime [Mimic Barrier | Psypower],Pantimos [Mimic Barrier | Psypower],M. Mime [Mimic Barrier | Psypower],Mr. Mime [Mimic Barrier | Psypower]
733769-0002,733769,1,Nidoking,151,MEW,174,Illustration Rare,IR,ENG,False,normal,Nidoking [Enthusiastic King | Venom Impact],Nidoking [Enthusiastic King | Venom Impact],Nidoking [Enthusiastic King | Venom Impact],Nidoking [Enthusiastic King | Venom Impact]
733769-0001,733769,1,Nidoking,151,MEW,174,Illustration Rare,IR,ESP,False,normal,Nidoking [Enthusiastic King | Venom Impact],Nidoking [Enthusiastic King | Venom Impact],Nidoking [Enthusiastic King | Venom Impact],Nidoking [Enthusiastic King | Venom Impact]
733775-0002,733775,1,Omanyte,151,MEW,180,Illustration Rare,IR,ENG,False,normal,Omanyte [Tentacle Return],Amonitas [Tentacle Return],Amonita [Tentacle Return],Omanyte [Tentacle Return]
733775-0001,733775,1,Omanyte,151,MEW,180,Illustration Rare,IR,ESP,False,normal,Omanyte [Tentacle Return],Amonitas [Tentacle Return],Amonita [Tentacle Return],Omanyte [Tentacle Return]
733768-0002,733768,1,Pikachu,151,MEW,173,Illustration Rare,IR,ENG,False,normal,Pikachu [Charge | Pika Punch],Pikachu [Charge | Pika Punch],Pikachu [Charge | Pika Punch],Pikachu [Charge | Pika Punch]
733768-0001,733768,1,Pikachu,151,MEW,173,Illustration Rare,IR,ESP,False,normal,Pikachu [Charge | Pika Punch],Pikachu [Charge | Pika Punch],Pikachu [Charge | Pika Punch],Pikachu [Charge | Pika Punch]
733771-0002,733771,1,Poliwhirl,151,MEW,176,Illustration Rare,IR,ENG,False,normal,Poliwhirl [Wave Splash | Frog Hop],Quaputzi [Wave Splash | Frog Hop],Têtarte [Wave Splash | Frog Hop],Poliwhirl [Wave Splash | Frog Hop]
733771-0001,733771,1,Poliwhirl,151,MEW,176,Illustration Rare,IR,ESP,False,normal,Poliwhirl [Wave Splash | Frog Hop],Quaputzi [Wave Splash | Frog Hop],Têtarte [Wave Splash | Frog Hop],Poliwhirl [Wave Splash | Frog Hop]
733770-0002,733770,1,Psyduck,151,MEW,175,Illustration Rare,IR,ENG,False,normal,Psyduck [Overthinking | Water Gun],Enton [Overthinking | Water Gun],Psykokwak [Overthinking | Water Gun],Psyduck [Overthinking | Water Gun]
733770-0001,733770,1,Psyduck,151,MEW,175,Illustration Rare,IR,ESP,False,normal,Psyduck [Overthinking | Water Gun],Enton [Overthinking | Water Gun],Psykokwak [Overthinking | Water Gun],Psyduck [Overthinking | Water Gun]
733765-0002,733765,1,Squirtle,151,MEW,170,Illustration Rare,IR,ENG,False,normal,Squirtle [Withdraw | Skull Bash],Schiggy [Withdraw | Skull Bash],Carapuce [Withdraw | Skull Bash],Squirtle [Withdraw | Skull Bash]
733765-0001,733765,1,Squirtle,151,MEW,170,Illustration Rare,IR,ESP,False,normal,Squirtle [Withdraw | Skull Bash],Schiggy [Withdraw | Skull Bash],Carapuce [Withdraw | Skull Bash],Squirtle [Withdraw | Skull Bash]
733773-0002,733773,1,Tangela,151,MEW,178,Illustration Rare,IR,ENG,False,normal,Tangela [Twisty Manners],Tangela [Twisty Manners],Saquedeneu [Twisty Manners],Tangela [Twisty Manners]
733773-0001,733773,1,Tangela,151,MEW,178,Illustration Rare,IR,ESP,False,normal,Tangela [Twisty Manners],Tangela [Twisty Manners],Saquedeneu [Twisty Manners],Tangela [Twisty Manners]
733766-0002,733766,1,Wartortle,151,MEW,171,Illustration Rare,IR,ENG,False,normal,Wartortle [Free Dive | Spinning Attack],Schillok [Free Dive | Spinning Attack],Carabaffe [Free Dive | Spinning Attack],Wartortle [Free Dive | Spinning Attack]
733766-0001,733766,1,Wartortle,151,MEW,171,Illustration Rare,IR,ESP,False,normal,Wartortle [Free Dive | Spinning Attack],Schillok [Free Dive | Spinning Attack],Carabaffe [Free Dive | Spinning Attack],Wartortle [Free Dive | Spinning Attack]
733800-0002,733800,1,Mew ex,151,MEW,205,Secret Rare,SR,ENG,False,normal,Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking]
733800-0001,733800,1,Mew ex,151,MEW,205,Secret Rare,SR,ESP,False,normal,Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking]
733802-0002,733802,1,Psychic Energy,151,MEW,207,Secret Rare,SR,ENG,False,normal,Energía Psíquica,Psycho-Energie,Énergie Psy,Energia Psiche
733802-0001,733802,1,Psychic Energy,151,MEW,207,Secret Rare,SR,ESP,False,normal,Energía Psíquica,Psycho-Energie,Énergie Psy,Energia Psiche
733801-0002,733801,1,Switch,151,MEW,206,Secret Rare,SR,ENG,False,normal,Cambio,Tausch,Échange,Scambio
733801-0001,733801,1,Switch,151,MEW,206,Secret Rare,SR,ESP,False,normal,Cambio,Tausch,Échange,Scambio
733796-0002,733796,1,Alakazam ex,151,MEW,201,Special Illustration Rare,SAR,ENG,False,normal,Alakazam ex [Mind Jack | Dimensional Hand],Simsala ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand]
733796-0001,733796,1,Alakazam ex,151,MEW,201,Special Illustration Rare,SAR,ESP,False,normal,Alakazam ex [Mind Jack | Dimensional Hand],Simsala ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand]
733795-0002,733795,1,Blastoise ex,151,MEW,200,Special Illustration Rare,SAR,ENG,False,normal,Blastoise ex [Solid Shell | Twin Cannons],Turtok ex [Solid Shell | Twin Cannons],Tortank ex [Solid Shell | Twin Cannons],Blastoise ex [Solid Shell | Twin Cannons]
733795-0001,733795,1,Blastoise ex,151,MEW,200,Special Illustration Rare,SAR,ESP,False,normal,Blastoise ex [Solid Shell | Twin Cannons],Turtok ex [Solid Shell | Twin Cannons],Tortank ex [Solid Shell | Twin Cannons],Blastoise ex [Solid Shell | Twin Cannons]
733794-0002,733794,1,Charizard ex,151,MEW,199,Special Illustration Rare,SAR,ENG,False,normal,Charizard ex [Brave Wing | Explosive Vortex],Glurak ex [Brave Wing | Explosive Vortex],Dracaufeu ex [Brave Wing | Explosive Vortex],Charizard ex [Brave Wing | Explosive Vortex]
733794-0001,733794,1,Charizard ex,151,MEW,199,Special Illustration Rare,SAR,ESP,False,normal,Charizard ex [Brave Wing | Explosive Vortex],Glurak ex [Brave Wing | Explosive Vortex],Dracaufeu ex [Brave Wing | Explosive Vortex],Charizard ex [Brave Wing | Explosive Vortex]
733798-0002,733798,1,Erika's Invitation,151,MEW,203,Special Illustration Rare,SAR,ENG,False,normal,Invitación de Erika,Erikas Einladung,Invitation d'Erika,Invito di Erika
733798-0001,733798,1,Erika's Invitation,151,MEW,203,Special Illustration Rare,SAR,ESP,False,normal,Invitación de Erika,Erikas Einladung,Invitation d'Erika,Invito di Erika
733799-0002,733799,1,Giovanni's Charisma,151,MEW,204,Special Illustration Rare,SAR,ENG,False,normal,Carisma de Giovanni,Giovannis Charisma,Charisme de Giovanni,Carisma di Giovanni
733799-0001,733799,1,Giovanni's Charisma,151,MEW,204,Special Illustration Rare,SAR,ESP,False,normal,Carisma de Giovanni,Giovannis Charisma,Charisme de Giovanni,Carisma di Giovanni
733793-0002,733793,1,Venusaur ex,151,MEW,198,Special Illustration Rare,SAR,ENG,False,normal,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],Bisaflor ex [Tranquil Flower | Dangerous Toxwhip],Florizarre ex [Tranquil Flower | Dangerous Toxwhip],Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
733793-0001,733793,1,Venusaur ex,151,MEW,198,Special Illustration Rare,SAR,ESP,False,normal,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],Bisaflor ex [Tranquil Flower | Dangerous Toxwhip],Florizarre ex [Tranquil Flower | Dangerous Toxwhip],Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
733797-0002,733797,1,Zapdos ex,151,MEW,202,Special Illustration Rare,SAR,ENG,False,normal,Zapdos ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning],Électhor ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning]
733797-0001,733797,1,Zapdos ex,151,MEW,202,Special Illustration Rare,SAR,ESP,False,normal,Zapdos ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning],Électhor ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning]
733783-0002,733783,1,Alakazam ex,151,MEW,188,Ultra Rare,UR,ENG,False,mixed_powertools,Alakazam ex [Mind Jack | Dimensional Hand],Simsala ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand]
733783-0001,733783,1,Alakazam ex,151,MEW,188,Ultra Rare,UR,ESP,False,mixed_powertools,Alakazam ex [Mind Jack | Dimensional Hand],Simsala ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand],Alakazam ex [Mind Jack | Dimensional Hand]
733780-0002,733780,1,Arbok ex,151,MEW,185,Ultra Rare,UR,ENG,False,mixed_powertools,Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs]
733780-0001,733780,1,Arbok ex,151,MEW,185,Ultra Rare,UR,ESP,False,mixed_powertools,Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs],Arbok ex [Bind Down | Menacing Fangs]
733789-0002,733789,1,Bill's Transfer,151,MEW,194,Ultra Rare,UR,ENG,False,mixed_powertools,Transferencia de Bill,Bills Transfer,Transfert de Léo,Trasferimento di Bill
733789-0001,733789,1,Bill's Transfer,151,MEW,194,Ultra Rare,UR,ESP,False,mixed_powertools,Transferencia de Bill,Bills Transfer,Transfert de Léo,Trasferimento di Bill
733779-0002,733779,1,Blastoise ex,151,MEW,184,Ultra Rare,UR,ENG,False,mixed_powertools,Blastoise ex [Solid Shell | Twin Cannons],Turtok ex [Solid Shell | Twin Cannons],Tortank ex [Solid Shell | Twin Cannons],Blastoise ex [Solid Shell | Twin Cannons]
733779-0001,733779,1,Blastoise ex,151,MEW,184,Ultra Rare,UR,ESP,False,mixed_powertools,Blastoise ex [Solid Shell | Twin Cannons],Turtok ex [Solid Shell | Twin Cannons],Tortank ex [Solid Shell | Twin Cannons],Blastoise ex [Solid Shell | Twin Cannons]
733778-0002,733778,1,Charizard ex,151,MEW,183,Ultra Rare,UR,ENG,False,mixed_powertools,Charizard ex [Brave Wing | Explosive Vortex],Glurak ex [Brave Wing | Explosive Vortex],Dracaufeu ex [Brave Wing | Explosive Vortex],Charizard ex [Brave Wing | Explosive Vortex]
733778-0001,733778,1,Charizard ex,151,MEW,183,Ultra Rare,UR,ESP,False,mixed_powertools,Charizard ex [Brave Wing | Explosive Vortex],Glurak ex [Brave Wing | Explosive Vortex],Dracaufeu ex [Brave Wing | Explosive Vortex],Charizard ex [Brave Wing | Explosive Vortex]
733790-0002,733790,1,Daisy's Help,151,MEW,195,Ultra Rare,UR,ENG,False,mixed_powertools,Ayuda de Dalia,Sarahs Hilfe,Aide de Nina,Aiuto di Margi
733790-0001,733790,1,Daisy's Help,151,MEW,195,Ultra Rare,UR,ESP,False,mixed_powertools,Ayuda de Dalia,Sarahs Hilfe,Aide de Nina,Aiuto di Margi
733791-0002,733791,1,Erika's Invitation,151,MEW,196,Ultra Rare,UR,ENG,False,mixed_powertools,Invitación de Erika,Erikas Einladung,Invitation d'Erika,Invito di Erika
733791-0001,733791,1,Erika's Invitation,151,MEW,196,Ultra Rare,UR,ESP,False,mixed_powertools,Invitación de Erika,Erikas Einladung,Invitation d'Erika,Invito di Erika
733792-0002,733792,1,Giovanni's Charisma,151,MEW,197,Ultra Rare,UR,ENG,False,mixed_powertools,Carisma de Giovanni,Giovannis Charisma,Charisme de Giovanni,Carisma di Giovanni
733792-0001,733792,1,Giovanni's Charisma,151,MEW,197,Ultra Rare,UR,ESP,False,mixed_powertools,Carisma de Giovanni,Giovannis Charisma,Charisme de Giovanni,Carisma di Giovanni
733784-0002,733784,1,Golem ex,151,MEW,189,Ultra Rare,UR,ENG,False,mixed_powertools,Golem ex [Dynamic Roll | Rock Blaster],Geowaz ex [Dynamic Roll | Rock Blaster],Grolem ex [Dynamic Roll | Rock Blaster],Golem ex [Dynamic Roll | Rock Blaster]
733784-0001,733784,1,Golem ex,151,MEW,189,Ultra Rare,UR,ESP,False,mixed_powertools,Golem ex [Dynamic Roll | Rock Blaster],Geowaz ex [Dynamic Roll | Rock Blaster],Grolem ex [Dynamic Roll | Rock Blaster],Golem ex [Dynamic Roll | Rock Blaster]
733786-0002,733786,1,Jynx ex,151,MEW,191,Ultra Rare,UR,ENG,False,mixed_powertools,Jynx ex [Heart-Stopping Kiss | Icy Wind],Rossana ex [Heart-Stopping Kiss | Icy Wind],Lippoutou ex [Heart-Stopping Kiss | Icy Wind],Jynx ex [Heart-Stopping Kiss | Icy Wind]
733786-0001,733786,1,Jynx ex,151,MEW,191,Ultra Rare,UR,ESP,False,mixed_powertools,Jynx ex [Heart-Stopping Kiss | Icy Wind],Rossana ex [Heart-Stopping Kiss | Icy Wind],Lippoutou ex [Heart-Stopping Kiss | Icy Wind],Jynx ex [Heart-Stopping Kiss | Icy Wind]
733785-0002,733785,1,Kangaskhan ex,151,MEW,190,Ultra Rare,UR,ENG,False,mixed_powertools,Kangaskhan ex [Triple Draw | Incessant Punching],Kangama ex [Triple Draw | Incessant Punching],Kangourex ex [Triple Draw | Incessant Punching],Kangaskhan ex [Triple Draw | Incessant Punching]
733785-0001,733785,1,Kangaskhan ex,151,MEW,190,Ultra Rare,UR,ESP,False,mixed_powertools,Kangaskhan ex [Triple Draw | Incessant Punching],Kangama ex [Triple Draw | Incessant Punching],Kangourex ex [Triple Draw | Incessant Punching],Kangaskhan ex [Triple Draw | Incessant Punching]
733788-0002,733788,1,Mew ex,151,MEW,193,Ultra Rare,UR,ENG,False,mixed_powertools,Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking]
733788-0001,733788,1,Mew ex,151,MEW,193,Ultra Rare,UR,ESP,False,mixed_powertools,Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking],Mew ex [Restart | Genome Hacking]
733781-0002,733781,1,Ninetales ex,151,MEW,186,Ultra Rare,UR,ENG,False,mixed_powertools,Ninetales ex [Heat Wave | Mirrored Flames],Vulnona ex [Heat Wave | Mirrored Flames],Feunard ex [Heat Wave | Mirrored Flames],Ninetales ex [Heat Wave | Mirrored Flames]
733781-0001,733781,1,Ninetales ex,151,MEW,186,Ultra Rare,UR,ESP,False,mixed_powertools,Ninetales ex [Heat Wave | Mirrored Flames],Vulnona ex [Heat Wave | Mirrored Flames],Feunard ex [Heat Wave | Mirrored Flames],Ninetales ex [Heat Wave | Mirrored Flames]
733777-0002,733777,1,Venusaur ex,151,MEW,182,Ultra Rare,UR,ENG,False,mixed_powertools,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],Bisaflor ex [Tranquil Flower | Dangerous Toxwhip],Florizarre ex [Tranquil Flower | Dangerous Toxwhip],Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
733777-0001,733777,1,Venusaur ex,151,MEW,182,Ultra Rare,UR,ESP,False,mixed_powertools,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],Bisaflor ex [Tranquil Flower | Dangerous Toxwhip],Florizarre ex [Tranquil Flower | Dangerous Toxwhip],Venusaur ex [Tranquil Flower | Dangerous Toxwhip]
733782-0002,733782,1,Wigglytuff ex,151,MEW,187,Ultra Rare,UR,ENG,False,mixed_powertools,Wigglytuff ex [Expanding Body | Friend Tackle],Knuddeluff ex [Expanding Body | Friend Tackle],Grodoudou ex [Expanding Body | Friend Tackle],Wigglytuff ex [Expanding Body | Friend Tackle]
733782-0001,733782,1,Wigglytuff ex,151,MEW,187,Ultra Rare,UR,ESP,False,mixed_powertools,Wigglytuff ex [Expanding Body | Friend Tackle],Knuddeluff ex [Expanding Body | Friend Tackle],Grodoudou ex [Expanding Body | Friend Tackle],Wigglytuff ex [Expanding Body | Friend Tackle]
733787-0002,733787,1,Zapdos ex,151,MEW,192,Ultra Rare,UR,ENG,False,mixed_powertools,Zapdos ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning],Électhor ex [Voltaic Float | Multishot Lightning],Zapdos ex [Voltaic Float | Multishot Lightning]
